תאריך,ספק,מספר חשבונית,מטבע,סכום מקורי,שער המרה,"סכום בש""ח",הערות
2026-05-01,Wolt - וולט מרקט,69f4787e321e7b5dd037f7b8,ILS,8.90,1,8.90,
2026-05-01,Wolt - וולט מרקט,69f487369e71c66ea91b36c5,ILS,155.93,1,155.93,
2026-05-01,Wolt - טורקיש טראק,69f4b1085f9d3dfb80282064,ILS,99.40,1,99.40,
2026-05-02,Wolt - אוטוטו רחובות,69f635d7bf445b3b7a666ade,ILS,268.90,1,268.90,
2026-05-02,Wolt - בורגראנץ׳ רוטשילד,69f6395e571bb252d050912e,ILS,93.18,1,93.18,
2026-05-02,Wolt - וולט מרקט,69f62dc0904fde7518d3a5c5,ILS,201.20,1,201.20,
2026-05-03,Apple (Apple TV),770129016663,ILS,25.90,1,25.90,
2026-05-03,Wolt - וולט מרקט,69f718f36db9190ea5d7173f,ILS,8.90,1,8.90,
2026-05-03,אדג' קונטרול,66948,ILS,78.36,1,78.36,טעינת רכב חשמלי
2026-05-03,סנדביץ' בר אקספרס,34939,ILS,559.00,1,559.00,כיבוד
2026-05-04,Gett,UNKNOWN,ILS,73.10,1,73.10,נסיעה עבור דבורה
2026-05-04,Wolt - וולט מרקט,69f86ac303c1284ed4ebb775,ILS,57.25,1,57.25,
2026-05-04,Wolt - וולט מרקט,69f889daf45c5f844f4694f2,ILS,8.90,1,8.90,
2026-05-04,Wolt - נונומימי,69f8d650a25d92c21a043f7e,ILS,137.60,1,137.60,
2026-05-04,Wolt - סופר יודה,69f84267bdce63c9bb52d26e,ILS,134.30,1,134.30,
2026-05-04,Wolt - קפה עלמה,69f8d9e9a486ba8e34de785b,ILS,128.35,1,128.35,
2026-05-04,לוטם זיו - קלינאית תקשורת,12316,ILS,800.00,1,800.00,עבור רפאל ארי דן-גור
2026-05-05,Apple,694129594835,ILS,135.60,1,135.60,
2026-05-05,איזיביזי לעסקים,0218-8897,ILS,317.42,1,317.42,מנוי חודשי מאי
2026-05-06,Wolt - וולט מרקט,69fb16e981a6a64ec144b277,ILS,8.90,1,8.90,
2026-05-06,Wolt - וולט מרקט,69fb1437731001c8253ba5c9,ILS,16.50,1,16.50,
2026-05-06,Wolt - וולט מרקט,69fb255624e0613b4049704d,ILS,18.20,1,18.20,
2026-05-06,Wolt - סופר יודה,69fb4d5b62f2057f455da7c3,ILS,332.90,1,332.90,
2026-05-06,Wolt - קצביית החברים,69fae5fc025578e2b945cc29,ILS,200.88,1,200.88,
2026-05-06,איליה מלצב,1214,ILS,900.00,1,900.00,אפיון מערכת לאדוונס אסתטיק
2026-05-06,שקרון דניאל רוג'ר (שכירות),01/010053,ILS,6490.00,1,6490.00,שכירות 05/26 לאדוונס אסתטיק - שיק
2026-05-07,Wolt - הטאבון והשווארמה,69fcd1e4911fc27586811922,ILS,119.45,1,119.45,
2026-05-07,Wolt - וולט מרקט,69fc889c3063627a0ae5a7a1,ILS,14.70,1,14.70,
2026-05-07,Wolt - וולט מרקט,69fccfd04fedff9d51da4333,ILS,79.90,1,79.90,
2026-05-07,Wolt - מאפיית דון לאון,69fc54c2f360c05a57d4b2ba,ILS,427.90,1,427.90,
2026-05-08,Eleven Labs,2895-4962-2216,USD,22.00,2.9051,63.91,
