תאריך,ספק,מספר חשבונית,מטבע,סכום מקורי,שער המרה,"סכום בש""ח",הערות
2026-05-06,Meta Ads (601049505664355),27014420118244850-26951644557855738,ILS,3093.00,1,3093.00,פרסום מטא
2026-05-07,Meta Ads (601049505664355),26824808960539292-26884582841228572,ILS,246.03,1,246.03,פרסום 5-6.5 קמפיין איילה לידים
2026-05-15,Meta Ads (382848224834261),26962869060069675-27054348037588449,ILS,135.15,1,135.15,פרסום - קמפיין STRA הסמכה לבוגרי רפואה
2026-05-15,Meta Ads (601049505664355),27080113735008819-27045888015098052,ILS,3093.00,1,3093.00,פרסום מטא
2026-05-17,AdEspresso,2026-2108,USD,49.00,2.9220,143.18,מנוי Starter 17/5-16/6
2026-05-17,"נת""מ ניהול צרפתי ספייס",6/2983,ILS,2929.00,1,2929.00,"דמי אחזקה 05/26 - יגאל אלון 53 ת""א"
2026-05-21,Meta Ads (601049505664355),27037367769283413-27198049099881946,ILS,2629.00,1,2629.00,פרסום 14-21.5
2026-05-27,Meta Ads (601049505664355),27291002590586600-27228095853543939,ILS,2633.00,1,2633.00,פרסום עד 27.5
2026-05-27,איילה קאופמן (ayaladigital),20023,ILS,3304.00,1,3304.00,קבלה - שיווק דיגיטלי פייסבוק מאי (חשבונית 10026)
2026-06-02,Meta Ads (601049505664355),27375940462092812-27233538499666336,ILS,2633.00,1,2633.00,פרסום מטא
2026-06-04,א.מ.י טכנולוגיות רפואיות,SI26019672,ILS,614.00,1,614.00,חשבונית מרכזת - מופיע גם בדוח המייל האישי
2026-06-04,א.מ.י טכנולוגיות רפואיות,SI26019671,ILS,5039.00,1,5039.00,חשבונית מרכזת - מופיע גם בדוח המייל האישי
2026-06-04,א.מ.י טכנולוגיות רפואיות,SI26019663,ILS,10148.00,1,10148.00,חשבונית מרכזת - מופיע גם בדוח המייל האישי
2026-06-04,א.מ.י טכנולוגיות רפואיות,SI26019650,ILS,472.00,1,472.00,חשבונית מרכזת - מופיע גם בדוח המייל האישי
2026-06-04,א.מ.י טכנולוגיות רפואיות,SI26019641,ILS,2867.00,1,2867.00,חשבונית מרכזת - מופיע גם בדוח המייל האישי
2026-06-07,Meta Ads (601049505664355),27292304737123046-27306268615726657,ILS,2095.01,1,2095.01,פרסום 31.5-6.6
2026-06-08,א.מ.י טכנולוגיות רפואיות,SI26020048,ILS,7080.00,1,7080.00,מזרקי Sculptra - מופיע גם בדוח המייל האישי
2026-06-13,Meta Ads (601049505664355),27475702388783283-27442231395463710,ILS,2677.00,1,2677.00,פרסום 7-13.6
2026-06-14,"נת""מ ניהול צרפתי ספייס",6/3065,ILS,2929.00,1,2929.00,דמי אחזקה 06/26
2026-06-16,Meta Ads (601049505664355),27425698177117033-27505252845828237,ILS,2.18,1,2.18,קרדיט פרסום 15.6
2026-06-17,Meta Ads (בית ספר לרפואה אסתטית),27518269867859868-27393420967011423,ILS,0.91,1,0.91,קרדיט פרסום
2026-06-18,Meta Ads (601049505664355),27459771810376342-27507624268924422,ILS,2677.00,1,2677.00,פרסום מטא
2026-06-21,איילה קאופמן (ayaladigital),30191,ILS,3304.00,1,3304.00,חשבונית מס קבלה - שיווק דיגיטלי פייסבוק יוני
2026-06-23,Meta Ads (601049505664355),27520586224294900-27667611399592382,ILS,2677.00,1,2677.00,פרסום מטא
2026-06-28,Meta Ads (601049505664355),27663629833323869-27582126164807572,ILS,2701.00,1,2701.00,פרסום מטא

,"סה""כ בש""ח",,,,,66121.46,
