date,vendor,invoice_number,amount,currency,direction,gmail_message_id,notes
2026-01-04,א.מ.י טכנולוגיות רפואיות,SI26000302,4661.00,ILS,expense,19db92ef40740796,Sculptra + Restylane Skinboosters
2026-01-12,א.מ.י טכנולוגיות רפואיות,SI26001304,696.00,ILS,expense,19db92ef40740796,מחטים TSK 32G
2026-02-03,א.מ.י טכנולוגיות רפואיות,SI26004466,2950.00,ILS,expense,19db92ef40740796,RevyPeel + Cellbooster Glow
2026-02-04,א.מ.י טכנולוגיות רפואיות,SI26004687,277.00,ILS,expense,19db92ef40740796,מחטים TSK
2026-02-04,א.מ.י טכנולוגיות רפואיות,SI26004692,3103.00,ILS,expense,19db92ef40740796,פילרים Restylane + Cellbooster
2026-02-04,א.מ.י טכנולוגיות רפואיות,SI26004694,2738.00,ILS,expense,19db92ef40740796,פילרים Restylane + Cellbooster
2026-02-04,א.מ.י טכנולוגיות רפואיות,SI26004699,13118.00,ILS,expense,19db92ef40740796,קרטרידג'ים Ultraformer
2026-02-08,א.מ.י טכנולוגיות רפואיות,SI26005023,2201.00,ILS,expense,19db92ef40740796,מחטים + קנולות JBP
2026-02-19,א.מ.י טכנולוגיות רפואיות,SI26006841,4720.00,ILS,expense,19db92ef40740796,Newest 10+10
2026-02-24,א.מ.י טכנולוגיות רפואיות,SI26007512,944.00,ILS,expense,19db92ef40740796,Plinest Eye x2
2026-02-24,א.מ.י טכנולוגיות רפואיות,SI26007522,1888.00,ILS,expense,19db92ef40740796,Sculptra 1+1
2026-02-25,קרנפון מדיה,50803,2950.00,ILS,expense,19dca3fef84502ab,ניהול חודשי - סוכנות דיגיטל
2026-02-26,א.מ.י טכנולוגיות רפואיות,SI26007877,1888.00,ILS,expense,19db92ef40740796,Sculptra 1+1
2026-03-08,א.מ.י טכנולוגיות רפואיות,SI26008667,1092.00,ILS,expense,19db92ef40740796,קנולות JBP
2026-03-18,א.מ.י טכנולוגיות רפואיות,SI26010026,5475.00,ILS,expense,19db92ef40740796,Sculptra x2 + RevyPeel
2026-03-26,קרנפון מדיה,50812,2950.00,ILS,expense,19da51d9eaec817e,ניהול חודשי (בוטל בזיכוי 70134)
2026-04-11,Meta Ads (382848224834261),26753868630969728-26434237916266131,72.00,ILS,expense,19d7c25c4d004bec,פרסום - Advenced esthetic
2026-04-13,Meta Ads (382848224834261),26559106640445921-26714214241601827,66.00,ILS,expense,19d846247b9daa45,פרסום - Advenced esthetic
2026-04-15,"נת""מ ניהול צרפתי ספייס",6/2836,2929.00,ILS,expense,19db57eae7f07d3c,דמי אחזקה 04/26
2026-04-17,AdEspresso,2026-1693,49.00,USD,expense,19d9c34f8f411c10,מנוי Starter 17/4-16/5
2026-04-19,א.מ.י טכנולוגיות רפואיות,SI26012919,873.00,ILS,expense,19db92ef40740796,קנולות JBP
2026-04-20,א.מ.י טכנולוגיות רפואיות,SI26013341,11552.00,ILS,expense,19db92ef40740796,Sculptra x5 + Plinest Eye
2026-04-27,קרנפון מדיה,80969,2950.00,ILS,expense,19dce51874b16557,קבלה - תשלום באשראי
2026-04-29,קרנפון מדיה,70134,-2950.00,ILS,expense,19dd7c71f8bcec11,זיכוי מבטל חשבונית 50812
2026-04-29,קרנפון מדיה,63330,1475.00,ILS,expense,19dd7c63632761bc,ניהול חצי חודש
2026-05-07,Meta Ads (601049505664355),26824808960539292-26884582841228572,246.03,ILS,expense,19e00749d088089c,פרסום 5-6.5 קמפיין איילה לידים
2026-05-15,Meta Ads (382848224834261),26962869060069675-27054348037588449,135.15,ILS,expense,19e2aa0017bfc8e4,פרסום - קמפיין STRA הסמכה לבוגרי רפואה
2026-05-17,AdEspresso,2026-2108,49.00,USD,expense,19e3645e7c3c6c63,מנוי Starter 17/5-16/6
2026-05-17,"נת""מ ניהול צרפתי ספייס",6/2983,2929.00,ILS,expense,19e457ac4211125a,"דמי אחזקה 05/26 - יגאל אלון 53 ת""א"
2026-05-21,Meta Ads (601049505664355),27037367769283413-27198049099881946,2629.00,ILS,expense,19e4c4537b28e846,פרסום 14-21.5
2026-05-27,Meta Ads (601049505664355),27291002590586600-27228095853543939,2633.00,ILS,expense,19e6855cc37d51a9,פרסום עד 27.5
2026-05-27,איילה קאופמן (ayaladigital),20023,3304.00,ILS,expense,19e68456b25b5284,קבלה - שיווק דיגיטלי פייסבוק מאי (חשבונית 10026)
2026-06-04,א.מ.י טכנולוגיות רפואיות,SI26019672,614.00,ILS,expense,19ea0d8a97b93fd9,חשבונית מרכזת - מופיע גם בדוח המייל האישי
2026-06-04,א.מ.י טכנולוגיות רפואיות,SI26019671,5039.00,ILS,expense,19ea0d8a97b93fd9,חשבונית מרכזת - מופיע גם בדוח המייל האישי
