date,vendor,invoice_number,amount,currency,direction,gmail_message_id,notes
2026-05-01,Wolt - וולט מרקט,69f4787e321e7b5dd037f7b8,8.90,ILS,expense,19de2ff0626ed643,
2026-05-01,Wolt - וולט מרקט,69f487369e71c66ea91b36c5,155.93,ILS,expense,19de36aab88ed1fe,
2026-05-01,Wolt - טורקיש טראק,69f4b1085f9d3dfb80282064,99.40,ILS,expense,19de3f8d7fb14932,
2026-05-02,Wolt - אוטוטו רחובות,69f635d7bf445b3b7a666ade,268.90,ILS,expense,19dea17792400f72,
2026-05-02,Wolt - בורגראנץ׳ רוטשילד,69f6395e571bb252d050912e,93.18,ILS,expense,19de9f4807fc1c08,
2026-05-02,Wolt - וולט מרקט,69f62dc0904fde7518d3a5c5,201.20,ILS,expense,19de9dab482915d0,
2026-05-02,רבו פילאטיס (upapp/hyp),UNKNOWN,UNKNOWN,ILS,expense,19de9b5fc0e237c3,קובץ לא סונכרן
2026-05-03,Apple (Apple TV),770129016663,25.90,ILS,expense,19df184f983c9fe1,
2026-05-03,Wolt - וולט מרקט,69f718f36db9190ea5d7173f,8.90,ILS,expense,19ded4665845be3c,
2026-05-03,אדג' קונטרול,66948,78.36,ILS,expense,19dedb3b60cd33c3,טעינת רכב חשמלי
2026-05-03,אייס (מולטי ריטייל),RC269170767,UNKNOWN,ILS,expense,19dec6f73d23f60a,קבלה/חשבונית מצורפת - לא סונכרנה
2026-05-03,סנדביץ' בר אקספרס,34939,559.00,ILS,expense,19dedf881da767fc,כיבוד
2026-05-04,Gett,UNKNOWN,73.10,ILS,expense,19df25fa69214d66,נסיעה עבור דבורה
2026-05-04,Wolt - וולט מרקט,69f86ac303c1284ed4ebb775,57.25,ILS,expense,19df2a209c18eb54,
2026-05-04,Wolt - וולט מרקט,69f889daf45c5f844f4694f2,8.90,ILS,expense,19df2df8c64c2b22,
2026-05-04,Wolt - נונומימי,69f8d650a25d92c21a043f7e,137.60,ILS,expense,19df43093d5f6c9b,
2026-05-04,Wolt - סופר יודה,69f84267bdce63c9bb52d26e,134.30,ILS,expense,19df1d74bf803b62,
2026-05-04,Wolt - קפה עלמה,69f8d9e9a486ba8e34de785b,128.35,ILS,expense,19df4373908ce41a,
2026-05-04,לוטם זיו - קלינאית תקשורת,12316,800.00,ILS,expense,19df15de35c4b722,עבור רפאל ארי דן-גור
2026-05-05,Apple,694129594835,135.60,ILS,expense,19dfbe5ffd860d2d,
2026-05-05,איזיביזי לעסקים,0218-8897,317.42,ILS,expense,19df7c305efce752,מנוי חודשי מאי
2026-05-06,Wolt - וולט מרקט,69fb16e981a6a64ec144b277,8.90,ILS,expense,19dfcd56d2e7f871,
2026-05-06,Wolt - וולט מרקט,69fb1437731001c8253ba5c9,16.50,ILS,expense,19dfcd5789a42af1,
2026-05-06,Wolt - וולט מרקט,69fb255624e0613b4049704d,18.20,ILS,expense,19dfd1fcaec028fc,
2026-05-06,Wolt - סופר יודה,69fb4d5b62f2057f455da7c3,332.90,ILS,expense,19dfdcc4be6bef47,
2026-05-06,Wolt - קצביית החברים,69fae5fc025578e2b945cc29,200.88,ILS,expense,19dfc20837e28a77,
2026-05-06,איליה מלצב,1214,900.00,ILS,expense,19dfd300a7d9924f,אפיון מערכת לאדוונס אסתטיק
2026-05-06,שקרון דניאל רוג'ר (שכירות),01/010053,6490.00,ILS,expense,19e352d5ee9e4df8,שכירות 05/26 לאדוונס אסתטיק - שיק
2026-05-07,Wolt - הטאבון והשווארמה,69fcd1e4911fc27586811922,119.45,ILS,expense,19e03bff24ecafc3,
2026-05-07,Wolt - וולט מרקט,69fc889c3063627a0ae5a7a1,14.70,ILS,expense,19e0277091651b28,
2026-05-07,Wolt - וולט מרקט,69fccfd04fedff9d51da4333,79.90,ILS,expense,19e039418e235774,
2026-05-07,Wolt - מאפיית דון לאון,69fc54c2f360c05a57d4b2ba,427.90,ILS,expense,19e01d54d0a03bd3,
2026-05-08,Eleven Labs,2895-4962-2216,22.00,USD,expense,19e06b913ec59aa6,
